Brain Number	Specimen_ID
1410	81970
1884	81935
1228	81937
1548	81928
2943	81989
2420	82002
1040	82027
2628	82044
1020	82060
1408 - MTG	82073
1385	81947
1691	81948
1927	81949
885	81950
1227	81951
1918	81952
2305	81953
1340	81954
1221	81955
946	81956
2860	81957
1883	81958
1832	81959
1390	81960
924	81961
943	81962
1431	81963
1974	81964
1905	81965
1193	81925
1536	81929
3081	81971
1134	81974
1525	81976
1539	81977
1346	81979
3095	81981
894	81982
1563	81984
1442	81985
2927	81986
1494	81990
1263	81991
1150	81992
2781	81994
1314	81995
2936	81996
1133	81997
1456	81998
1468	81999
2756	82001
1179	82004
1611	82005
2790	82006
2453	82007
1571	82009
1185	82010
1504	82011
1473	82012
2636	82013
887	82014
1722	82015
1462	82016
1615	82018
1187	82017
2267	82019
1275	82020
863	82021
1135	82022
1054	82023
2076	82024
1604	82026
2074	82028
1056	82029
939	82031
1051	82032
2053	82033
1745	82034
2569	82035
2539	82036
887	82014
1691	81948
1918	81952
1340	81954
2860	81957
1883	81958
943	81962
1974	81964
1905	81965
1193	81925
859	81972
3095	81981
1494	81990
1468	81999
1187	82017
2267	82019
1135	82022
1171	82038
1004	82039
1644	82052
1017	82064
1003	82066
1039	82069
2746	82076
890	81931
1357	81938
913	81966
972	82000
1424	82063
2263	82030
823	81943
2998	81975
