sample,batch
1040-ARC,batch1
1134-ARC,batch1
1221-ARC,batch1
1227-ARC,batch1
1228-ARC,batch1
1346-ARC,batch1
1385-ARC,batch1
1390-ARC,batch1
1410-ARC,batch1
1431-ARC,batch1
1442-ARC,batch1
1525-ARC,batch1
1536-ARC,batch1
1539-ARC,batch1
1563-ARC,batch1
1832-ARC,batch1
1884-ARC,batch1
1927-ARC,batch1
2305-ARC,batch1
2420-ARC,batch1
2628-ARC,batch1
3081-ARC,batch1
885-ARC,batch1
894-ARC,batch1
924-ARC,batch1
946-ARC,batch1
1051-ARC,batch2
1054-ARC,batch2
1056-ARC,batch2
1133-ARC,batch2
1150-ARC,batch2
1179-ARC,batch2
1185-ARC,batch2
1187-ARC,batch2
1263-ARC,batch2
1275-ARC,batch2
1314-ARC,batch2
1456-ARC,batch2
1462-ARC,batch2
1473-ARC,batch2
1504-ARC,batch2
1571-ARC,batch2
1604-ARC,batch2
1611-ARC,batch2
1615-ARC,batch2
1722-ARC,batch2
1745-ARC,batch2
2053-ARC,batch2
2074-ARC,batch2
2076-ARC,batch2
2453-ARC,batch2
2539-ARC,batch2
2569-ARC,batch2
2636-ARC,batch2
2756-ARC,batch2
2781-ARC,batch2
2790-ARC,batch2
2927-ARC,batch2
2936-ARC,batch2
863-ARC,batch2
939-ARC,batch2
1007-ARC,batch3
1017-ARC,batch3
1039-ARC,batch3
1058-ARC,batch3
1069-ARC,batch3
1156-ARC,batch3
1276-ARC,batch3
1281-ARC,batch3
1285-ARC,batch3
1297-ARC,batch3
1305-ARC,batch3
1306-ARC,batch3
1331-ARC,batch3
1357-ARC,batch3
1459-ARC,batch3
1522-ARC,batch3
1556-ARC,batch3
1560-ARC,batch3
1644-ARC,batch3
2287-ARC,batch3
2304-ARC,batch3
2377-ARC,batch3
2429-ARC,batch3
2513-ARC,batch3
2543-ARC,batch3
2552-ARC,batch3
2575-ARC,batch3
2587-ARC,batch3
2623-ARC,batch3
831-ARC,batch3
913-ARC,batch3
977-ARC,batch3
991-ARC,batch3
993-ARC,batch3
1020-ARC,batch4
1053-ARC,batch4
1099-ARC,batch4
1105-ARC,batch4
1111-ARC,batch4
1122-ARC,batch4
1137-ARC,batch4
1142-ARC,batch4
1164-ARC,batch4
1167-ARC,batch4
1324-ARC,batch4
1325-ARC,batch4
1348-ARC,batch4
1405-ARC,batch4
1517-ARC,batch4
1548-ARC,batch4
1898-ARC,batch4
1908-ARC,batch4
2003-ARC,batch4
2046-ARC,batch4
2064-ARC,batch4
2303-ARC,batch4
2605-ARC,batch4
2703-ARC,batch4
2943-ARC,batch4
2955-ARC,batch4
2998-ARC,batch4
3029-ARC,batch4
845-ARC,batch4
846-ARC,batch4
852-ARC,batch4
909-ARC,batch4
910-ARC,batch4
914-ARC,batch4
926-ARC,batch4
928-ARC,batch4
959-ARC,batch4
973-ARC,batch4
1003-ARC,batch5
1004-ARC,batch5
1135-ARC,batch5
1171-ARC,batch5
1193-ARC,batch5
1340-ARC,batch5
1424-ARC,batch5
1468-ARC,batch5
1494-ARC,batch5
1691-ARC,batch5
1883-ARC,batch5
1905-ARC,batch5
1918-ARC,batch5
1974-ARC,batch5
2263-ARC,batch5
2267-ARC,batch5
2746-ARC,batch5
2860-ARC,batch5
3095-ARC,batch5
823-ARC,batch5
859-ARC,batch5
887-ARC,batch5
890-ARC,batch5
943-ARC,batch5
972-ARC,batch5
