sample,batch
KEN-1069,batch1
KEN-1070,batch1
KEN-1092,batch1
KEN-1095,batch1
KEN-1106,batch1
KEN-1127,batch1
KEN-1131,batch1
KEN-1132,batch1
KEN-1142,batch1
KEN-1153,batch1
KEN-1156,batch1
KEN-1159,batch1
KEN-1163,batch1
KEN-1177,batch1
KEN-1184,batch1
SH-04-21,batch1
SH-94-35,batch1
SH-96-08,batch1
SH-96-30,batch1
SH-96-32,batch1
SH-96-35,batch1
SH-96-39,batch1
SH-99-14,batch1
SH-99-29,batch1
SH-99-44,batch1
UMARY-1013,batch1
UMARY-1027,batch1
UMARY-1028,batch1
UMARY-1076,batch1
UMARY-1079,batch1
UMARY-1101,batch1
UMARY-1113,batch1
UMARY-1114,batch1
UMARY-1135,batch1
UMARY-1259,batch1
UMARY-1277,batch1
UMARY-1279,batch1
UMARY-1322,batch1
KEN-1206,batch2
KEN-1221,batch2
KEN-1229,batch2
KEN-1245,batch2
KEN-5015,batch2
KEN-5034,batch2
KEN-5062,batch2
KEN-5091,batch2
KEN-5163,batch2
KEN-845,batch2
UMARY-1158,batch2
UMARY-1206,batch2
UMARY-1323,batch2
UMARY-1326,batch2
UMARY-1347,batch2
UMARY-1362,batch2
UMARY-1363,batch2
UMARY-1378,batch2
UMARY-1379,batch2
UMARY-1406,batch2
UMARY-1410,batch2
UMARY-1442,batch2
UMARY-1454,batch2
UMARY-1455,batch2
UMARY-1461,batch2
UMARY-1464,batch2
UMARY-1465,batch2
UMARY-1475,batch2
UMARY-1486,batch2
UMARY-1496,batch2
UMARY-1535,batch2
UMARY-1540,batch2
UMARY-1541,batch2
UMARY-1543,batch2
UMARY-1544,batch2
UMARY-1568,batch2
UMARY-1570,batch2
UMARY-1571,batch2
UMARY-1584,batch2
UMARY-1607,batch3
UMARY-1609,batch3
UMARY-164,batch3
UMARY-1648,batch3
UMARY-165,batch3
UMARY-1668,batch3
UMARY-1672,batch3
UMARY-1675,batch3
UMARY-1710,batch3
UMARY-1713,batch3
UMARY-1743,batch3
UMARY-177,batch3
UMARY-1789,batch3
UMARY-1792,batch3
UMARY-1794,batch3
UMARY-1796,batch3
UMARY-1797,batch3
UMARY-1818,batch3
UMARY-1823,batch3
UMARY-1825,batch3
UMARY-1827,batch3
UMARY-1831,batch3
UMARY-1841,batch3
UMARY-1843,batch3
UMARY-1847,batch3
UMARY-1849,batch3
UMARY-1859,batch3
UMARY-1861,batch3
UMARY-1862,batch3
UMARY-1865,batch3
UMARY-1902,batch3
UMARY-1909,batch3
UMARY-1935,batch3
UMARY-240,batch3
UMARY-251,batch3
UMARY-260,batch3
UMARY-288,batch3
UMARY-4228,batch3
UMARY-4263,batch3
UMARY-4540,batch3
UMARY-4542,batch4
UMARY-455,batch4
UMARY-4592,batch4
UMARY-4636,batch4
UMARY-4638,batch4
UMARY-4640,batch4
UMARY-4669,batch4
UMARY-4725,batch4
UMARY-4726,batch4
UMARY-4727,batch4
UMARY-4728,batch4
UMARY-4729,batch4
UMARY-4735,batch4
UMARY-4782,batch4
UMARY-4786,batch4
UMARY-4789,batch4
UMARY-4842,batch4
UMARY-4903,batch4
UMARY-4906,batch4
UMARY-4916,batch4
UMARY-4924,batch4
UMARY-5024,batch4
UMARY-5028,batch4
UMARY-5078,batch4
UMARY-5079,batch4
UMARY-5086,batch4
UMARY-5087,batch4
UMARY-5088,batch4
UMARY-5114,batch4
UMARY-5116,batch4
UMARY-5117,batch4
UMARY-5120,batch4
UMARY-5123,batch4
UMARY-5171,batch4
UMARY-5179,batch4
UMARY-544,batch4
UMARY-55,batch4
UMARY-602,batch4
UMARY-634,batch4
UMARY-650,batch4
KEN-1066,batch5
KEN-1224,batch5
SH-03-15,batch5
SH-04-05,batch5
SH-04-08,batch5
SH-04-19,batch5
SH-05-10,batch5
SH-06-05,batch5
SH-06-25,batch5
SH-06-66,batch5
SH-07-28,batch5
SH-07-37,batch5
SH-07-46,batch5
SH-07-63,batch5
SH-08-04,batch5
SH-08-23,batch5
SH-92-05,batch5
SH-92-14,batch5
SH-95-02,batch5
SH-95-34,batch5
SH-98-23,batch5
UMARY-1064,batch5
UMARY-1133,batch5
UMARY-1134,batch5
UMARY-1136,batch5
UMARY-1266,batch5
UMARY-1498,batch5
UMARY-1539,batch5
UMARY-1545,batch5
UMARY-1795,batch5
UMARY-1845,batch5
UMARY-1866,batch5
UMARY-26,batch5
UMARY-4549,batch5
UMARY-5077,batch5
UMARY-604,batch5
UMARY-671,batch5
UMARY-794,batch5
UMARY-813,batch5
UMARY-818,batch5
UMARY-819,batch5
UMARY-871,batch5
UMARY-879,batch5
UMARY-914,batch5
UMARY-933,batch5
