cohort,sample,modality,FlowCell,fn,batchN,runID,used
HBCC,HBCC-1003,snATAC,HM2CTDMXY,HBCC/snATAC_fastq/HM2CTDMXY/HBCC-1003/HBCC-1003_S1_L001_I1_001.fastq.gz,10,AN00016884,TRUE
HBCC,HBCC-1003,snATAC,HM2CTDMXY,HBCC/snATAC_fastq/HM2CTDMXY/HBCC-1003/HBCC-1003_S1_L001_R1_001.fastq.gz,10,AN00016884,TRUE
HBCC,HBCC-1003,snATAC,HM2CTDMXY,HBCC/snATAC_fastq/HM2CTDMXY/HBCC-1003/HBCC-1003_S1_L001_R2_001.fastq.gz,10,AN00016884,TRUE
HBCC,HBCC-1003,snATAC,HM2CTDMXY,HBCC/snATAC_fastq/HM2CTDMXY/HBCC-1003/HBCC-1003_S1_L001_R3_001.fastq.gz,10,AN00016884,TRUE
HBCC,HBCC-1003,snATAC,HM2CTDMXY,HBCC/snATAC_fastq/HM2CTDMXY/HBCC-1003/HBCC-1003_S1_L002_I1_001.fastq.gz,10,AN00016884,TRUE
HBCC,HBCC-1003,snATAC,HM2CTDMXY,HBCC/snATAC_fastq/HM2CTDMXY/HBCC-1003/HBCC-1003_S1_L002_R1_001.fastq.gz,10,AN00016884,TRUE
HBCC,HBCC-1003,snATAC,HM2CTDMXY,HBCC/snATAC_fastq/HM2CTDMXY/HBCC-1003/HBCC-1003_S1_L002_R2_001.fastq.gz,10,AN00016884,TRUE
HBCC,HBCC-1003,snATAC,HM2CTDMXY,HBCC/snATAC_fastq/HM2CTDMXY/HBCC-1003/HBCC-1003_S1_L002_R3_001.fastq.gz,10,AN00016884,TRUE
HBCC,HBCC-1003,snATAC,HNGFMDMXY,HBCC/snATAC_fastq/HNGFMDMXY/HBCC-1003/HBCC-1003_S1_L001_I1_001.fastq.gz,10,AN00016884,TRUE
HBCC,HBCC-1003,snATAC,HNGFMDMXY,HBCC/snATAC_fastq/HNGFMDMXY/HBCC-1003/HBCC-1003_S1_L001_R1_001.fastq.gz,10,AN00016884,TRUE
HBCC,HBCC-1003,snATAC,HNGFMDMXY,HBCC/snATAC_fastq/HNGFMDMXY/HBCC-1003/HBCC-1003_S1_L001_R2_001.fastq.gz,10,AN00016884,TRUE
HBCC,HBCC-1003,snATAC,HNGFMDMXY,HBCC/snATAC_fastq/HNGFMDMXY/HBCC-1003/HBCC-1003_S1_L001_R3_001.fastq.gz,10,AN00016884,TRUE
HBCC,HBCC-1003,snATAC,HNGFMDMXY,HBCC/snATAC_fastq/HNGFMDMXY/HBCC-1003/HBCC-1003_S1_L002_I1_001.fastq.gz,10,AN00016884,TRUE
HBCC,HBCC-1003,snATAC,HNGFMDMXY,HBCC/snATAC_fastq/HNGFMDMXY/HBCC-1003/HBCC-1003_S1_L002_R1_001.fastq.gz,10,AN00016884,TRUE
HBCC,HBCC-1003,snATAC,HNGFMDMXY,HBCC/snATAC_fastq/HNGFMDMXY/HBCC-1003/HBCC-1003_S1_L002_R2_001.fastq.gz,10,AN00016884,TRUE
HBCC,HBCC-1003,snATAC,HNGFMDMXY,HBCC/snATAC_fastq/HNGFMDMXY/HBCC-1003/HBCC-1003_S1_L002_R3_001.fastq.gz,10,AN00016884,TRUE
HBCC,HBCC-1003,snRNA,HTNGNDSX7,HBCC/snRNA_fastq/HTNGNDSX7/HBCC-1003/HBCC-1003_S1_L003_I1_001.fastq.gz,10,AN00016885,TRUE
HBCC,HBCC-1003,snRNA,HTNGNDSX7,HBCC/snRNA_fastq/HTNGNDSX7/HBCC-1003/HBCC-1003_S1_L003_I2_001.fastq.gz,10,AN00016885,TRUE
HBCC,HBCC-1003,snRNA,HTNGNDSX7,HBCC/snRNA_fastq/HTNGNDSX7/HBCC-1003/HBCC-1003_S1_L003_R1_001.fastq.gz,10,AN00016885,TRUE
HBCC,HBCC-1003,snRNA,HTNGNDSX7,HBCC/snRNA_fastq/HTNGNDSX7/HBCC-1003/HBCC-1003_S1_L003_R2_001.fastq.gz,10,AN00016885,TRUE
