sample,cohort,batchN,modality,FlowCell,runID,used
HBCC-1003,HBCC,8,snATAC,HLVGTDMXY,AN00014985,FALSE
HBCC-1003,HBCC,8,snATAC,HLVJNDMXY,AN00014985,FALSE
HBCC-1003,HBCC,8,snRNA,H7W73DSX7,AN00014986,FALSE
HBCC-1003,HBCC,10,snATAC,HM2CTDMXY,AN00016884,TRUE
HBCC-1003,HBCC,10,snATAC,HNGFMDMXY,AN00016884,TRUE
HBCC-1003,HBCC,10,snRNA,HTNGNDSX7,AN00016885,TRUE
HBCC-1003,HBCC,10,snRNA,HW2LNDSX7,AN00016885,TRUE
HBCC-1004,HBCC,8,snATAC,HLVGTDMXY,AN00014985,FALSE
HBCC-1004,HBCC,8,snATAC,HLVJNDMXY,AN00014985,FALSE
HBCC-1004,HBCC,8,snRNA,H7W73DSX7,AN00014986,FALSE
HBCC-1004,HBCC,10,snATAC,HM2CTDMXY,AN00016884,TRUE
HBCC-1004,HBCC,10,snATAC,HNGFMDMXY,AN00016884,TRUE
HBCC-1004,HBCC,10,snRNA,HTNGNDSX7,AN00016885,TRUE
HBCC-1004,HBCC,10,snRNA,HW2LNDSX7,AN00016885,TRUE
HBCC-1007,HBCC,8,snATAC,HLVGTDMXY,AN00014985,TRUE
HBCC-1007,HBCC,8,snATAC,HLVJNDMXY,AN00014985,TRUE
HBCC-1007,HBCC,8,snRNA,H7W73DSX7,AN00014986,TRUE
HBCC-1017,HBCC,8,snATAC,HLVGTDMXY,AN00014985,TRUE
HBCC-1017,HBCC,8,snATAC,HLVJNDMXY,AN00014985,TRUE
HBCC-1017,HBCC,8,snRNA,H7W73DSX7,AN00014986,TRUE
HBCC-1017,HBCC,10,snATAC,HM2CTDMXY,AN00016884,FALSE
HBCC-1017,HBCC,10,snATAC,HNGFMDMXY,AN00016884,FALSE
HBCC-1017,HBCC,10,snRNA,HTNGNDSX7,AN00016885,FALSE
HBCC-1017,HBCC,10,snRNA,HW2LNDSX7,AN00016885,FALSE
HBCC-1020,HBCC,6,snATAC,HK7F7DMXY,AN00014456,FALSE
HBCC-1020,HBCC,6,snATAC,HKLKJDMXY,AN00014456,FALSE
HBCC-1020,HBCC,6,snRNA,HY23VDSX5,AN00014457,FALSE
HBCC-1020,HBCC,9,snATAC,HLVM5DMXY,AN00015125,TRUE
HBCC-1020,HBCC,9,snATAC,HLVTHDMXY,AN00015125,TRUE
HBCC-1020,HBCC,9,snRNA,H7WGLDSX7,AN00015126,TRUE
HBCC-1039,HBCC,8,snATAC,HLVGTDMXY,AN00014985,TRUE
HBCC-1039,HBCC,8,snATAC,HLVJNDMXY,AN00014985,TRUE
HBCC-1039,HBCC,8,snRNA,H7W73DSX7,AN00014986,TRUE
HBCC-1039,HBCC,10,snATAC,HM2CTDMXY,AN00016884,FALSE
HBCC-1039,HBCC,10,snATAC,HNGFMDMXY,AN00016884,FALSE
HBCC-1039,HBCC,10,snRNA,HTNGNDSX7,AN00016885,FALSE
HBCC-1039,HBCC,10,snRNA,HW2LNDSX7,AN00016885,FALSE
HBCC-1040,HBCC,6,snATAC,HK7F7DMXY,AN00014456,TRUE
HBCC-1040,HBCC,6,snATAC,HKLKJDMXY,AN00014456,TRUE
HBCC-1040,HBCC,6,snRNA,HY23VDSX5,AN00014457,TRUE
HBCC-1040,HBCC,9,snATAC,HLVM5DMXY,AN00015125,FALSE
HBCC-1040,HBCC,9,snATAC,HLVTHDMXY,AN00015125,FALSE
HBCC-1040,HBCC,9,snRNA,H7WGLDSX7,AN00015126,FALSE
HBCC-1051,HBCC,7,snATAC,HKKMMDMXY,AN00014812,TRUE
HBCC-1051,HBCC,7,snATAC,HLF5JDMXY,AN00014812,TRUE
HBCC-1051,HBCC,7,snRNA,H7TJWDSX7,AN00014813,TRUE
HBCC-1053,HBCC,9,snATAC,HLVM5DMXY,AN00015125,TRUE
HBCC-1053,HBCC,9,snATAC,HLVTHDMXY,AN00015125,TRUE
HBCC-1053,HBCC,9,snRNA,H7WGLDSX7,AN00015126,TRUE
HBCC-1054,HBCC,7,snATAC,HKKMMDMXY,AN00014812,TRUE
HBCC-1054,HBCC,7,snATAC,HLF5JDMXY,AN00014812,TRUE
HBCC-1054,HBCC,7,snRNA,H7TJWDSX7,AN00014813,TRUE
HBCC-1056,HBCC,7,snATAC,HKKMMDMXY,AN00014812,TRUE
HBCC-1056,HBCC,7,snATAC,HLF5JDMXY,AN00014812,TRUE
HBCC-1056,HBCC,7,snRNA,H7TJWDSX7,AN00014813,TRUE
HBCC-1058,HBCC,8,snATAC,HLVGTDMXY,AN00014985,TRUE
HBCC-1058,HBCC,8,snATAC,HLVJNDMXY,AN00014985,TRUE
HBCC-1058,HBCC,8,snRNA,H7W73DSX7,AN00014986,TRUE
HBCC-1069,HBCC,8,snATAC,HLVGTDMXY,AN00014985,TRUE
HBCC-1069,HBCC,8,snATAC,HLVJNDMXY,AN00014985,TRUE
HBCC-1069,HBCC,8,snRNA,H7W73DSX7,AN00014986,TRUE
HBCC-1099,HBCC,9,snATAC,HLVM5DMXY,AN00015125,TRUE
